Curso;Grau;Redação;Natureza;Humanas;Linguagens;Matemática
PUBLICIDADE E PROPAGANDA;Bacharelado;3.00 ;1.00 ;2.50 ;2.00 ;1.50 
QUÍMICA;Bacharelado;2.00 ;2.50 ;1.00 ;1.50 ;3.00 
QUÍMICA;Bacharelado;2.50 ;2.50 ;1.00 ;2.00 ;2.00 
QUÍMICA INDUSTRIAL;Licenciatura;3.00 ;2.50 ;1.00 ;1.50 ;2.00 
RELAÇÕES INTERNACIONAIS;Bacharelado;2.00 ;1.00 ;2.50 ;3.00 ;1.50 
SECRETARIADO EXECUTIVO;Bacharelado;3.00 ;1.00 ;2.00 ;2.50 ;1.50 
SERVIÇO SOCIAL;Bacharelado;3.00 ;1.00 ;2.50 ;2.50 ;1.00 
SISTEMAS DE INFORMAÇÃO;Bacharelado;2.50 ;1.00 ;1.50 ;2.00 ;3.00 
TEATRO;Bacharelado;3.00 ;1.00 ;3.00 ;2.00 ;1.00 
TURISMO;Licenciatura;2.00 ;1.00 ;2.50 ;2.50 ;2.00 
ZOOTECNIA;Bacharelado;2.00 ;3.00 ;1.00 ;1.50 ;2.50 
